                  QSO_name     ion       Glon       Glat      v_LSR     logN   hvcflag_1   hvcflag_2   hvcflag_3   hvcflag_4  
     2XMM-J100420.0+051300    SiII    234.161    44.6222    -31.666   14.507           0           0           0           0  
     2XMM-J100420.0+051300    SiIV    234.161    44.6222    -40.659   13.194           0           0           0           0  
     2XMM-J100420.0+051300    SiIV    234.161    44.6222     64.268   13.315           1           0           0           0  
     2XMM-J141348.3+440014     CIV    83.8281    66.3534    106.576   12.969           0           0           0           0  
     2XMM-J141348.3+440014     CIV    83.8281    66.3534     31.628   13.166           0           0           0           0  
     2XMM-J141348.3+440014     CIV    83.8281    66.3534    -67.304   14.183           1           0           0           0  
     2XMM-J141348.3+440014    NiII    83.8281    66.3534    124.563   13.993           1           1           0           0  
     2XMM-J141348.3+440014    NiII    83.8281    66.3534     -7.345    14.34           0           0           0           0  
     2XMM-J141348.3+440014    SiII    83.8281    66.3534     -43.32   14.772           1           0           0           0  
     2XMM-J141348.3+440014    SiIV    83.8281    66.3534    -61.308   13.646           1           0           0           0  
                    3C-66A    CII*    140.143   -16.7669    -30.362   14.579           0           0           0           0  
                    3C-66A     CIV    140.143   -16.7669     14.607   13.111           0           0           0           0  
                    3C-66A     CIV    140.143   -16.7669    -24.366   13.193           0           0           0           0  
                    3C-66A    FeII    140.143   -16.7669     35.593    9.075           0           0           0           0  
                    3C-66A    NiII    140.143   -16.7669    -63.339   13.104           1           0           0           0  
                    3C-66A    NiII    140.143   -16.7669    -15.372   13.988           0           0           0           0  
                    3C-66A     SII    140.143   -16.7669    -15.372   15.805           0           0           0           0  
                    3C-66A    SiII    140.143   -16.7669   -135.289    12.78           1           0           0           0  
                    3C-66A    SiII    140.143   -16.7669     77.564   12.792           0           0           0           0  
                    3C-66A    SiII    140.143   -16.7669    -27.364   15.855           0           0           0           0  
                    3C-66A    SiIV    140.143   -16.7669    -27.364   13.356           0           0           0           0  
                     3C263    CII*   134.1592     49.744     -6.606    13.45           0           0           0           0  
                     3C263    CII*   134.1592     49.744    -60.569   13.777           1           0           0           1  
                     3C263     CIV   134.1592     49.744    -102.54   13.665           1           0           0           1  
                     3C263     CIV   134.1592     49.744    -30.589    14.12           0           0           0           0  
                     3C263    NiII   134.1592     49.744    -12.602   13.737           0           0           0           0  
                     3C263     SII   134.1592     49.744      5.386   14.791           0           0           0           0  
                     3C263     SII   134.1592     49.744    -51.575   14.994           0           0           0           0  
                     3C263    SiIV   134.1592     49.744    -27.592   13.759           0           0           0           0  
                     3C273    CII*   289.9508      64.36     32.242   13.711           0           0           0           0  
                     3C273    CII*   289.9508      64.36    -30.714   13.925           0           0           0           0  
                     3C273    FeII   289.9508      64.36    -24.718   15.402           0           0           0           0  
                     3C273      NV   289.9508      64.36     -9.729   13.929           0           0           0           0  
                     3C273    NiII   289.9508      64.36      2.263   13.819           0           0           0           0  
                     3C273     SII   289.9508      64.36     26.247   14.767           0           0           0           0  
                     3C273     SII   289.9508      64.36    -33.712   15.188           0           0           0           0  
                     3C273    SiIV   289.9508      64.36    -81.679    12.83           0           0           0           0  
                     3C273    SiIV   289.9508      64.36      5.261   13.804           0           0           0           0  
                      3C48    CII*   133.9626   -28.7194     62.654   12.852           0           0           0           0  
                      3C48    CII*   133.9626   -28.7194    -57.263   13.785           1           0           0           0  
                      3C48    CII*   133.9626   -28.7194      2.696   14.188           0           0           0           0  
                      3C48     CIV   133.9626   -28.7194     -33.28   13.968           0           0           0           0  
                      3C48    NiII   133.9626   -28.7194     -0.302   14.066           0           0           0           0  
                      3C48     SII   133.9626   -28.7194     -18.29   15.387           0           0           0           0  
                      3C48    SiIV   133.9626   -28.7194    146.596   12.595           0           0           0           0  
                      3C48    SiIV   133.9626   -28.7194   -129.213   12.937           1           0           0           0  
                      3C48    SiIV   133.9626   -28.7194     -6.298   13.477           0           0           0           0  
                      3C57    CII*   173.0773   -67.2617    -13.363   14.003           0           0           0           0  
                      3C57     CIV   173.0773   -67.2617    -118.29   12.982           1           0           0           0  
                      3C57     CIV   173.0773   -67.2617    -19.359   14.001           0           0           0           0  
                      3C57    FeII   173.0773   -67.2617    -16.361    13.76           0           0           0           0  
                      3C57    NiII   173.0773   -67.2617    -22.357    14.07           0           0           0           0  
                      3C57     SII   173.0773   -67.2617    -13.363   15.267           0           0           0           0  
                      3C57    SiII   173.0773   -67.2617    -13.363     15.0           0           0           0           0  
                      3C57    SiIV   173.0773   -67.2617    -25.354   13.412           0           0           0           0  
                   4C25.01    CII*   114.0722   -36.2766    -47.647   13.644           1           0           0           0  
                   4C25.01    CII*   114.0722   -36.2766       0.32   13.999           0           0           0           0  
                   4C25.01     CIV   114.0722   -36.2766     42.291   13.099           0           0           0           0  
                   4C25.01     CIV   114.0722   -36.2766    -80.624   13.234           1           0           0           0  
                   4C25.01     CIV   114.0722   -36.2766     -8.674   14.046           0           0           0           0  
                   4C25.01    FeII   114.0722   -36.2766    -35.655     9.62           0           0           0           0  
                   4C25.01    NiII   114.0722   -36.2766     -5.676   13.508           0           0           0           0  
                   4C25.01    SiII   114.0722   -36.2766   -113.601   12.992           1           0           0           0  
                   4C25.01    SiII   114.0722   -36.2766      6.316   14.843           0           0           0           0  
                   4C25.01    SiIV   114.0722   -36.2766    -92.615   12.835           1           0           0           0  
                   4C25.01    SiIV   114.0722   -36.2766     -2.678   13.689           0           0           0           0  
                   AKN-564    CII*    92.1385   -25.3368    -25.799   14.559           0           0           0           0  
                   AKN-564     CIV    92.1385   -25.3368    109.108   13.354           0           0           0           0  
                   AKN-564     CIV    92.1385   -25.3368    -73.766   13.444           1           0           0           0  
                   AKN-564     CIV    92.1385   -25.3368     13.174   14.458           0           0           0           0  
                   AKN-564    FeII    92.1385   -25.3368       4.18     9.85           0           0           0           0  
                   AKN-564      NV    92.1385   -25.3368    -28.797   13.825           0           0           0           0  
                   AKN-564    NiII    92.1385   -25.3368     -7.811   14.126           0           0           0           0  
                   AKN-564     SII    92.1385   -25.3368    -70.768   14.305           1           0           0           0  
                   AKN-564     SII    92.1385   -25.3368    -10.809   15.568           0           0           0           0  
                   AKN-564    SiII    92.1385   -25.3368       4.18   13.769           0           0           0           0  
                   AKN-564    SiII    92.1385   -25.3368     -67.77   16.821           1           0           0           0  
                   AKN-564    SiIV    92.1385   -25.3368    -70.768   13.078           1           0           0           0  
                   AKN-564    SiIV    92.1385   -25.3368     43.153   13.191           0           0           0           0  
                   AKN-564    SiIV    92.1385   -25.3368     -7.811   13.905           0           0           0           0  
                B0117-2837    CII*   225.7307   -83.6507     83.238   13.814           1           0           0           0  
                B0117-2837    CII*   225.7307   -83.6507       8.29   14.323           0           0           0           0  
                B0117-2837     CIV   225.7307   -83.6507    -135.61   13.232           1           0           0           0  
                B0117-2837     CIV   225.7307   -83.6507    -54.666   13.536           0           0           0           0  
                B0117-2837     CIV   225.7307   -83.6507     11.288   14.282           0           0           0           0  
                B0117-2837    FeII   225.7307   -83.6507    -90.641     8.32           1           0           0           0  
                B0117-2837    FeII   225.7307   -83.6507     -6.699   14.348           0           0           0           0  
                B0117-2837    FeII   225.7307   -83.6507     74.245   14.928           1           0           0           0  
                B0117-2837    NiII   225.7307   -83.6507     -6.699   13.388           0           0           0           0  
                B0117-2837     SII   225.7307   -83.6507     98.228   14.698           1           1           0           0  
                B0117-2837     SII   225.7307   -83.6507    -12.695   15.365           0           0           0           0  
                B0117-2837    SiIV   225.7307   -83.6507   -126.616   12.811           1           0           0           0  
                B0117-2837    SiIV   225.7307   -83.6507     32.274    13.22           0           0           0           0  
                B0117-2837    SiIV   225.7307   -83.6507    -51.668    13.52           0           0           0           0  
                  B0120-28    AlII   227.7754   -82.9332     14.059   11.595           0           0           0           0  
                  B0120-28    AlII   227.7754   -82.9332     50.034   12.217           0           0           0           0  
                  B0120-28    AlII   227.7754   -82.9332     29.048   12.604           0           0           0           0  
                  B0120-28    AlII   227.7754   -82.9332    -54.894   13.417           0           0           0           0  
