                      QSO    ion       Glon       Glat  weighted_v_LSR  total_logN
                  MRK1392     NV     2.7540    50.2640        -14.0020     13.5750
                  MRK1392   NiII     2.7540    50.2640          0.9880     13.9840
                  MRK1392    SII     2.7540    50.2640        -19.9980     15.3130
                  MRK1392   SiII     2.7540    50.2640        -25.6485     15.3110
                  MRK1392   SiIV     2.7540    50.2640        -14.0020     13.7810
                  MRK1513   CII*    63.6699   -29.0700        -37.4119     15.7549
                  MRK1513    CIV    63.6699   -29.0700         10.9980     14.4010
                  MRK1513     NV    63.6699   -29.0700          0.2290     13.6110
                  MRK1513   NiII    63.6699   -29.0700        -13.9799     13.9049
                  MRK1513    SII    63.6699   -29.0700         -5.7670     15.4380
                  MRK1513   SiII    63.6699   -29.0700         19.1205     14.9878
                  MRK1513  SiIII    63.6699   -29.0700         15.2180     14.0930
                  MRK1513   SiIV    63.6699   -29.0700         10.2523     13.7670
                   MRK290   CII*    91.4892    47.9536        -23.1500     14.0600
                   MRK290    CIV    91.4892    47.9536        -21.7107     14.1526
                   MRK290     NV    91.4892    47.9536        -47.5575     13.4764
                   MRK290   NiII    91.4892    47.9536        -11.1580     13.7250
                   MRK290    SII    91.4892    47.9536        -39.4014     15.1990
                   MRK290   SiII    91.4892    47.9536        -48.2711     15.3505
                   MRK290   SiIV    91.4892    47.9536        -71.7853     13.5335
                   MRK304    CIV    75.9894   -34.2225          3.8005     14.4127
                   MRK304   NiII    75.9894   -34.2225        -10.9930     13.9060
                   MRK304   SiII    75.9894   -34.2225        -28.5284     15.3584
                   MRK304   SiIV    75.9894   -34.2225        -33.7981     13.8494
                   MRK817   CII*   100.2997    53.4783        -30.8740     13.7560
                   MRK817    CIV   100.2997    53.4783        -63.8510     14.1380
                   MRK817     NV   100.2997    53.4783        -79.0314     13.7681
                   MRK817   NiII   100.2997    53.4783        -73.5790     13.8252
                   MRK817    SII   100.2997    53.4783        -36.4358     15.1515
                   MRK817   SiII   100.2997    53.4783        -44.6134     14.7601
                   MRK817   SiIV   100.2997    53.4783        -75.1028     13.5892
                   MRK841   CII*    11.2091    54.6321        -38.8739     14.4521
                   MRK841    CIV    11.2091    54.6321        -37.0990     14.6490
                   MRK841     NV    11.2091    54.6321        -46.3845     13.9672
                   MRK841   NiII    11.2091    54.6321        -19.1110     14.1790
                   MRK841    SII    11.2091    54.6321        -10.1180     15.2480
                   MRK841   SiIV    11.2091    54.6321        -34.1010     14.0890
                   MRK876   CII*    98.2694    40.3757        -32.5310     14.2240
                   MRK876    CIV    98.2694    40.3757        -33.6482     14.2568
                   MRK876   FeII    98.2694    40.3757        -14.5444     14.8020
                   MRK876     NV    98.2694    40.3757          3.4440     13.5640
                   MRK876   NiII    98.2694    40.3757        -43.6265     13.9923
                   MRK876    SII    98.2694    40.3757        -25.2954     15.5258
                   MRK876   SiII    98.2694    40.3757        -38.7579     15.0700
                   MRK876   SiIV    98.2694    40.3757        -31.8619     13.7019
                 NGC-3516   CII*   133.2357    42.4028        -27.9106     14.2740
                 NGC-3516    CIV   133.2357    42.4028        -44.4610     13.9406
                 NGC-3516   FeII   133.2357    42.4028       -105.6570     13.3470
                 NGC-3516     NV   133.2357    42.4028         -0.7300     13.7430
                 NGC-3516   NiII   133.2357    42.4028        -34.1045     13.9211
                 NGC-3516    SII   133.2357    42.4028        -22.4867     15.5535
                 NGC-3516   SiII   133.2357    42.4028        -31.7791     15.3536
                 NGC-3516   SiIV   133.2357    42.4028        -54.6920     13.3710
                 NGC-3783   CII*   287.4560    22.9475        -34.7024     15.1299
                 NGC-3783    CIV   287.4560    22.9475          8.5979     14.3235
                 NGC-3783     NV   287.4560    22.9475         25.3760     13.7070
                 NGC-3783   NiII   287.4560    22.9475         16.5665     14.1348
                 NGC-3783    SII   287.4560    22.9475        -12.2484     15.7490
                 NGC-3783   SiII   287.4560    22.9475          7.3880     15.2190
                 NGC-3783   SiIV   287.4560    22.9475         14.3900     13.7773
                 NGC-4051   CII*   148.8831    70.0851        -17.8938     14.0893
                 NGC-4051   FeII   148.8831    70.0851        -34.8215     14.6455
                 NGC-4051   NiII   148.8831    70.0851        -14.0080     13.9590
                 NGC-4051    SII   148.8831    70.0851        -25.8429     15.2893
                 NGC-4051   SiII   148.8831    70.0851        -41.1090     15.0866
                 NGC-4051   SiIV   148.8831    70.0851        -19.7650     13.6760
                 NGC-5548   CII*    31.9606    70.4958        -27.7268     13.8267
                 NGC-5548    CIV    31.9606    70.4958        -45.8498     14.4416
                 NGC-5548   FeII    31.9606    70.4958        -65.0350     14.4840
                 NGC-5548     NV    31.9606    70.4958        -38.0530     13.4810
                 NGC-5548   NiII    31.9606    70.4958        -31.7956     13.6643
                 NGC-5548    SII    31.9606    70.4958        -23.4490     15.2959
                 NGC-5548   SiII    31.9606    70.4958        -38.0530     15.3490
                 NGC-5548   SiIV    31.9606    70.4958        -62.0370     13.8000
